"","location_id","LOAD_DATE","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073","C074","C075","C076","C077","C078","C079","C080","C081","C082","C083","C084","C085","C086","C087","C088","C089","C090","C091","C092","C093","C094","C095","C096"
"112","369597","2015-07-27",2.00171319017679,1.9918089674956,1.97963739700913,1.98136941228164,1.95752093942759,1.96901061529187,1.96214344756625,1.9078856868507,1.84781072555523,1.80137573301609,1.85964811170733,1.90536090558417,1.89770963296038,1.84004786834195,1.80310285608357,1.80665147705774,1.81800799329668,1.81568878446594,1.8133695295013,1.81849794516916,1.82376676444833,1.82667216632172,1.74330711772052,1.63130516754061,1.61848061704333,1.55622768835713,1.36579889679365,1.26541060309124,1.2664282921285,1.35547912723962,1.49829787433017,1.60339098621295,1.63032464157599,1.55881908375323,1.54861332218834,1.78765676398089,1.87177793067499,1.40534367397419,1.02591955541953,0.90414914762612,0.920993466014255,0.968787881005399,1.06807643064239,1.22970771916378,1.39126074972664,1.42681455550666,1.32649383539299,1.32822486133845,1.62456671917532,1.77988501305141,1.40947146880272,1.20735131316607,1.14617420966074,1.15935735575045,1.19921528206734,1.26227113907865,1.38289785616079,1.4456406558565,1.29344723561385,1.2438953926129,1.29060433441447,1.27296905448701,1.29288224788695,1.33316801968337,1.27782117754947,1.16466986134495,1.08109839222999,1.06585380949402,1.05923162814042,1.13208709256701,1.25425529273857,1.44540102130639,1.68099277538963,1.70782615798837,1.61987098384301,1.64577212783132,1.69577170246352,1.67179636525863,1.69911508868085,1.78725031668198,1.89772668810671,1.95525402361289,1.88178894335583,1.83809169657562,1.8454056996104,1.89314633756863,1.95725613028736,2.03876868519675,2.06391905682325,2.03053268374232,1.97585777885,1.95040517803611,2.06379738973429,2.13633156731193,1.98918424304251,1.71288429450467
"113","369615","2015-07-21",4.30175022280731,5.35789308530021,5.30744827844223,4.82712256402315,4.27697252610436,4.03400903558003,4.13710484533424,5.19511670930518,5.68950406893204,5.36521818384341,4.90300713421742,4.68088083594067,5.02451102209652,5.25520581708922,5.25506261874427,5.30937743099793,5.3468474645823,5.17475473190332,4.9223625332862,4.71133247376417,4.55181296485314,4.47987807580555,4.40549564348511,4.5039226605821,4.55163395516721,4.14597378370719,3.63138877458054,3.65191062148003,3.60253213236342,2.68625890304525,3.84226547647944,9.52588080192397,21.4179779455696,34.153731338011,39.0767931700241,39.2883188593306,37.7022053861471,36.4403053437597,35.5123534243963,35.8384742417339,37.8011902249542,39.5216503916995,41.1995332201928,43.933672718607,44.6582679187569,42.6703760770806,41.118821227152,36.8496519626928,26.1422060931848,15.2099236049398,11.1484648851273,10.0949183231122,10.7489446081707,14.429576587675,26.2035830872525,36.5356234178711,39.6384020700639,37.8035653695103,35.9160477029015,36.0807313813984,38.3344935622884,39.5477276030401,39.1928729504953,37.7609769769624,39.5909772409156,42.4774043834358,41.597684118202,40.0689082178979,37.1961229283983,31.0303810594132,23.7741213640089,18.1583769065446,16.9445637461508,19.8504332501403,22.2378268343542,22.3878968876385,21.5123374694458,22.0201555270702,23.9839267840261,25.1065837137095,24.5526743447545,24.3637583068043,24.694708335152,25.6570799107087,26.9656160522451,26.4872878602618,22.6830208338602,16.3948477957192,11.4154791180377,10.1318895663726,11.3308714541191,12.1103642180575,11.6049124057996,10.9089621593629,10.7085736833477,10.7551654928157
"114","369615","2015-07-22",8.22405859032021,8.09464403736991,8.53117980011,8.61620680616679,8.71322864382562,9.27630046509717,9.93526785335012,10.0468514275779,10.583930723796,11.30754599626,11.5792028413591,11.4326936103985,11.2756567763135,11.1675944199457,10.7284526632354,9.79422897471525,9.5398257828266,10.0563017678034,10.449602568892,10.3504017007963,10.1611806501617,10.2811385505824,10.0408775006857,9.64040973304297,9.09844511420173,8.93704028564923,9.66211674531599,9.97578236688593,9.73461600615789,9.18292503307862,9.1841701856891,12.0674309151616,21.3841596499398,31.0029924834084,35.137286186747,35.9410037693417,35.8861833453945,38.4795545926705,39.3585055774369,40.6204545030298,39.8791569140315,37.0461330863179,35.5946577400337,39.2571836942436,42.9212835488525,40.8973859523588,36.6063774747831,28.4116750275677,19.6484088393926,13.4928860575603,10.2094350538156,8.72315024664471,9.32983881912591,12.7508600858045,21.2875495268769,31.2821628787609,38.9533400430071,42.6265223088899,40.8555054099156,40.0330930283834,42.2948736506476,41.9258940721229,41.6668950203818,42.3935951488666,44.2362779053741,43.6949761845269,40.7251190571646,40.4261887715211,39.2445126375237,34.1884096734519,21.8660560439526,14.6919063073659,16.8076943562724,19.4376520045545,21.5080044679165,21.8509848854807,21.4244428279961,20.4000943397864,19.9902549636444,20.2427423382648,21.0510726223702,21.9160152813276,23.0707194361728,24.1183105907651,25.3319725848842,24.8820168350097,21.3269499031195,17.0257564588447,14.4940758586592,13.1914963590368,12.1782021809826,11.7251471609953,11.2631577261495,10.6689990712056,10.1293028634241,9.86585703825825
"115","369615","2015-07-23",8.53513064701432,8.42111714472825,8.12911553273187,8.36385239812221,9.63861381392134,11.1050246979943,11.9910464463452,11.9803842845402,11.551808805301,10.8088599152968,9.95902337774488,9.51352905892106,9.80636977756993,10.2969793230976,10.6417918526844,10.8877533556018,10.5606190624727,9.91935780723762,9.44666101646481,9.48487788215109,9.59878832431727,9.65598817402354,9.72179854333584,9.602130455483,9.41604146365431,9.36061735959645,9.41833225162901,9.21019756697839,8.30743611705361,7.38755513371427,7.87697482473479,11.1130433441113,20.4411983700516,31.2982625215465,33.5879616664834,33.0058513785667,32.3978483337167,35.1905018858617,37.0355459670876,37.4319208511912,37.9030070770332,40.2058536383345,44.9179718253885,47.7443326276879,45.2991119962855,41.5825835224219,38.62585413969,33.2778933418914,23.751515274357,14.2113163524705,10.1791734759529,8.34366240929824,7.96989530967248,11.8100955475343,24.2344801680249,38.6970623088736,46.0779068145801,46.4649544702461,42.5094532775594,39.7423092471093,38.717571413648,38.9694122503701,41.4135617383924,43.628773159619,44.8664811139564,45.2794143531968,44.3119328789357,46.1980568161961,45.3642142324067,38.7606063901063,29.3159058122521,20.4113825094891,17.1829033569234,19.2962561463621,22.9672568923966,24.3541991382288,24.2574808408115,23.9701835888103,23.7781062317938,23.8981740408766,24.8326222172483,25.6062219240232,25.6134908282099,25.40707690614,25.8623534906016,25.0117969516559,21.1193252079825,16.2847781331688,13.6729664415533,13.2585825043728,13.1700982220756,12.2706419759686,11.127590605008,9.9325947434966,9.00850053386774,8.28404091535771
"116","369615","2015-07-24",7.93797300219559,7.76983413648396,8.16716590035422,9.13109624742978,9.64293874682612,9.79094930812703,10.0871113836134,10.6295124029056,10.482188843565,10.5064953857996,10.2635316906627,10.4144360515444,10.7861923061121,11.2377760855361,11.3948456545676,10.5797790422093,9.32047895663292,8.04133599575525,7.74521744180508,8.28342437323792,8.84369648857146,8.60014509606193,8.18515361538662,7.93692244807164,8.11666143337451,8.35641016210799,8.57522394463998,8.55903377952255,8.40176028112676,7.79162516458246,7.99250541354626,12.1110512486579,21.4354851796262,31.0243938355413,36.0540995935502,37.0010357650319,36.3013806441732,36.3294239129717,36.7208469547909,38.4160637434808,39.1866869497213,39.6268530362471,39.3236242481373,35.0461980165017,30.4388447041638,29.110051925082,29.7498345040102,27.3938477055754,17.2629292418424,9.45195627546324,5.99527286900781,5.12256375753329,5.81205773169817,8.36500821077233,18.8437318559873,30.4545029060534,31.3945730233102,31.2907192551934,33.7678011728455,36.7138187923593,39.9393929350076,43.6004640783895,46.2678183990802,46.5749766204164,44.7438661144054,44.7783343198486,45.566787374175,44.6128929942282,42.7041002573791,38.3831066699451,28.5179005991464,20.468058856946,19.47195611952,22.2831281273937,25.8743152656294,28.2495119070146,28.5268766455699,27.9587890347968,27.7361805331887,27.8175676010222,28.4085192183851,28.530785623076,28.1860153854208,28.0962312120535,27.5607687895162,24.953434144664,20.1036824089839,14.5313340222633,10.8587530935603,10.0057271429024,10.0914473063236,10.1869929049041,10.2890134277772,9.92595681290149,9.28011818683516,8.13406732675494
